TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
40412;-0.25;-0.25;10.24;-2.17;-2.26;-1.20
40516;0.15;0.19;8.36;-2.28;1.09;-1.34
40621;-0.21;0.28;9.35;-2.06;0.12;-1.01
40725;-1.32;0.45;8.63;-2.56;1.37;-1.17
40829;0.28;0.91;8.40;-2.56;0.08;-1.20
40934;0.33;0.93;6.94;-2.73;0.34;-1.04
41038;-0.10;0.29;9.72;-1.94;-1.17;-1.20
41143;-0.43;0.60;8.97;-2.24;-0.34;-0.82
41247;-0.38;0.39;9.14;-2.11;0.48;-1.30
41352;-0.30;0.14;9.65;-2.21;1.02;-1.25
41456;-0.19;0.72;8.58;-2.46;0.60;-1.15
41561;-0.47;0.37;9.11;-2.17;0.79;-1.02
41664;0.21;0.21;9.40;-2.10;-0.07;-1.23
41768;-0.14;0.10;8.81;-2.06;-0.60;-1.27
41873;0.20;0.07;8.73;-2.18;0.47;-1.04
41977;0.23;0.17;8.91;-2.39;0.87;-1.11
42082;0.04;0.04;8.69;-2.40;0.66;-1.14
42186;-0.43;0.07;9.10;-2.37;2.33;-0.98
42291;-0.35;-0.04;9.36;-2.35;-1.62;-1.08
42395;-0.16;0.12;8.32;-1.98;-0.28;-1.11
42500;0.43;0.15;8.92;-2.01;1.46;-1.20
42604;0.39;0.06;9.14;-2.64;-0.05;-0.82
42708;-0.09;-0.20;9.38;-2.09;0.59;-1.09
42813;-0.21;-0.21;9.28;-1.95;0.56;-0.94
42917;0.20;0.55;8.10;-2.59;-0.51;-1.16
43022;0.40;0.29;8.44;-2.41;0.77;-1.32
43126;-0.36;-0.10;9.81;-1.72;0.73;-1.35
43231;0.25;0.25;8.56;-1.95;-0.85;-1.09
43335;-0.48;-0.11;8.90;-2.31;1.03;-1.06
43440;-0.28;0.18;8.91;-1.66;-0.34;-1.08
43544;0.21;0.76;7.81;-2.52;0.93;-1.07
43649;0.21;0.79;8.59;-2.69;-0.47;-1.16
43753;-0.06;0.48;8.85;-1.91;-1.45;-1.19
43857;0.33;0.53;8.75;-2.15;-0.13;-1.28
43962;0.16;-0.20;9.08;-2.27;1.43;-1.11
44066;0.17;0.19;9.39;-1.46;-1.23;-0.94
44171;-0.16;0.38;8.99;-2.20;-0.22;-1.17
44275;-0.09;-0.12;9.51;-2.24;0.21;-1.05
44380;0.03;-0.08;8.58;-2.31;0.40;-1.08
44484;-0.20;0.71;8.67;-1.77;-1.53;-1.39
44589;0.55;0.52;7.85;-1.75;0.03;-1.26
44693;-0.46;0.02;10.34;-1.80;-0.82;-1.05
44797;0.36;0.45;8.63;-2.36;0.79;-1.07
44902;-0.46;0.32;9.87;-2.44;1.03;-1.04
45006;-0.04;0.27;8.71;-2.10;-0.50;-1.14
45111;0.26;-0.17;9.29;-2.08;-1.27;-1.34
45215;-0.26;0.23;9.03;-2.33;0.23;-0.88
45320;-0.97;-0.21;10.33;-2.54;1.61;-0.67
45424;0.15;-0.11;9.31;-2.28;-0.42;-1.22
45529;-0.25;0.22;8.61;-2.04;-1.13;-1.08
45633;-0.06;0.21;9.59;-1.97;-0.14;-0.86
45737;0.28;0.46;8.82;-1.68;-0.82;-1.01
45842;0.25;0.65;8.84;-2.47;0.01;-0.89
45945;0.53;0.71;8.00;-2.14;-0.21;-1.06
46050;-0.17;0.20;9.70;-1.63;-0.27;-1.35
46154;-0.06;0.22;9.97;-1.92;-0.66;-1.53
46259;-0.21;0.28;9.04;-2.15;0.07;-1.35
46363;-0.16;-0.07;9.21;-2.49;0.69;-0.98
46468;0.12;0.35;9.04;-1.36;-1.56;-1.21
46572;0.43;0.27;8.80;-1.95;-0.56;-1.14
46676;-0.29;0.29;9.56;-2.12;1.11;-1.16
46781;0.16;0.75;8.86;-2.40;-0.51;-1.14
46885;-0.22;0.00;9.90;-1.98;-0.14;-1.25
46990;0.35;0.06;8.54;-2.10;-0.27;-1.14
47094;0.04;0.13;9.00;-2.30;-0.47;-1.30
47199;-0.49;0.45;9.50;-2.04;0.10;-0.77
